file,year,quarter,avg,median
ir247.csv,2011,2,0.027001099862812503,0.026844855474999995
ir247.csv,2011,3,0.026031908245151517,0.026445607724999997
ir247.csv,2011,4,0.0190855069340625,0.01881528224
ir247.csv,2012,1,0.020153902295468748,0.02055791176
ir247.csv,2012,2,0.01986246637265625,0.020354548790000003
ir247.csv,2012,3,0.02182167533671875,0.021874086065
ir247.csv,2012,4,0.02258889442384615,0.022661781290000002
ir247.csv,2013,1,0.024479707977580638,0.0243567997
ir247.csv,2013,2,0.023346656602769227,0.023392242269999995
ir247.csv,2013,3,0.02588467628,0.025896323765
ir247.csv,2013,4,0.02494349625323077,0.0248783203
ir247.csv,2014,1,0.02351013465238095,0.02345834409
ir247.csv,2014,2,0.02100571696476923,0.021140738460000003
ir247.csv,2014,3,0.017275944660909093,0.0172489124
ir247.csv,2014,4,0.015313776036,0.01587099894
ir247.csv,2015,1,0.01134239960952381,0.011279436650000002
ir247.csv,2015,2,0.012682005110923076,0.01303944074
ir247.csv,2015,3,0.01233922898848485,0.012178420195000001
ir247.csv,2015,4,0.012206095348153844,0.012313783500000001
ir247.csv,2016,1,0.01041975995640625,0.010087951520000001
ir247.csv,2016,2,0.009760856826,0.00990673215
ir247.csv,2016,3,0.006793816832121213,0.0069972343650000005
ir247.csv,2016,4,0.009465954496875002,0.009858216744999999
ir247.csv,2017,1,0.010265135991875,0.010294016585
ir247.csv,2017,2,0.009399078778461536,0.0094837038
ir302.csv,2005,1,0.0161759748684127,0.016255407099999994
ir302.csv,2005,2,0.01652164175784615,0.016492580789999996
ir302.csv,2005,3,0.014594150132272728,0.014732811384999997
ir302.csv,2005,4,0.010548514025312499,0.010782817359999995
ir302.csv,2006,1,0.007874708501406251,0.0077438144050000005
ir302.csv,2006,2,0.00911634775703125,0.009056205080000001
ir302.csv,2006,3,0.006109450148307691,0.00606210444
ir302.csv,2006,4,0.002420362174603175,0.0020998189100000023
ir302.csv,2007,1,0.002484242570312499,0.002510369574999994
ir302.csv,2007,2,0.0026479938545312504,0.002574656510000002
ir302.csv,2007,3,0.0033066357246153847,0.003418919010000007
ir302.csv,2007,4,0.0040497918515625,0.0038910238999999916
ir302.csv,2008,1,0.007860463556349206,0.008279065379999992
ir302.csv,2008,2,0.0017739674584615383,0.0030308380300000035
ir302.csv,2008,3,0.0004717805798484858,0.0005287534499999955
ir302.csv,2008,4,0.00936592779921875,0.010145360979999993
ir302.csv,2009,1,0.019520153294444446,0.019461021770000007
ir302.csv,2009,2,0.024445566913125,0.024233333605000004
ir302.csv,2009,3,0.02547578226878788,0.025948650145000002
ir302.csv,2009,4,0.024572417190156248,0.02466677119
ir302.csv,2010,1,0.025423738557460315,0.025571294860000003
ir302.csv,2010,2,0.024038996391093748,0.023973102274999998
ir302.csv,2010,3,0.019910948147121212,0.019368061064999997
ir302.csv,2010,4,0.019296491485606065,0.01824705861
ir302.csv,2011,1,0.01943075898859375,0.019531459834999994
ir302.csv,2011,2,0.017708992386562497,0.017744746210000002
ir302.csv,2011,3,0.018077581394999997,0.018069047714999998
ir302.csv,2011,4,0.01627071653421875,0.016084402855000002
ir302.csv,2012,1,0.01793636631921875,0.018212734375
ir302.csv,2012,2,0.01630853568640625,0.016166318489999998
ir302.csv,2012,3,0.018759678351406246,0.01884933229
ir302.csv,2012,4,0.01993513133923077,0.019915643920000003
ir302.csv,2013,1,0.01948565616048387,0.019851284490000003
ir302.csv,2013,2,0.019342925983538463,0.019637324549999998
ir302.csv,2013,3,0.021431782107575757,0.02173895228
ir302.csv,2013,4,0.022736958567230767,0.022799022090000003
ir302.csv,2014,1,0.0218214060568254,0.02183734106
ir302.csv,2014,2,0.019876586502615385,0.019865841159999998
ir302.csv,2014,3,0.017099775459545455,0.017306316645
ir302.csv,2014,4,0.014582505207230768,0.01480146558
ir302.csv,2015,1,0.009911220632380952,0.010355092330000001
ir302.csv,2015,2,0.011584430105384616,0.0122648819
ir302.csv,2015,3,0.01526344666560606,0.015104932744999997
ir302.csv,2015,4,0.01603839261969231,0.01618344758
ir302.csv,2016,1,0.014026410270625,0.013553509265
ir302.csv,2016,2,0.012559840806307692,0.01266160461
ir302.csv,2016,3,0.01035843525621212,0.010258683099999999
ir302.csv,2016,4,0.01306109079140625,0.013432555544999999
ir302.csv,2017,1,0.015315707255625,0.0153430375
ir302.csv,2017,2,0.015419296330769232,0.0156810662
