date t365 i365 t730 i730 t1095 i1095 t1460 i1460 t1825 i1825 t2555 i2555 t3650 i3650 t4380 i4380 t5475 i5475 t7300 i7300 t10950 i10950
20050126 329 0.0483451487 693 0.04817804304 1057 0.04810393203 1461 0.04845246681 1826 0.04858424685 2556 0.0488284516 3652 0.04889937838 4383 0.04879394068 5479 0.04838247786 7306 0.0476678212 10957 0.04594436481 
20050127 328 0.04848825522 692 0.04838954232 1056 0.04837017675 1461 0.04872738312 1826 0.04885864416 2556 0.04910230965 3652 0.04920120916 4383 0.04909467599 5478 0.0486815353 7305 0.04796424688 10959 0.04623376924 
20050128 327 0.04826104506 691 0.04811173616 1055 0.04811149963 1461 0.04845432172 1826 0.04858580919 2558 0.04882929906 3652 0.04890017216 4385 0.04879460155 5478 0.04845117055 7305 0.04784014296 10958 0.04613357901 
20050131 324 0.04834959419 688 0.04820690059 1052 0.04817647082 1460 0.04852848273 1824 0.04863271154 2556 0.04884941788 3651 0.04889035251 4383 0.04878686868 5478 0.04844467534 7305 0.0477988943 10957 0.04614333368 
20050201 323 0.04829038558 687 0.04810032631 1051 0.04803833515 1462 0.04837741269 1826 0.04845480336 2556 0.0486168443 3653 0.04863094102 4383 0.04852977747 5480 0.04819003266 7307 0.04751103485 10957 0.04586923818 
20050202 406 0.04834320901 686 0.0481943629 1050 0.04810827721 1461 0.04839785353 1826 0.04847601489 2556 0.04863904902 3652 0.04868513298 4383 0.0485827351 5479 0.04824246108 7306 0.04759878009 10957 0.04590625397 
20050203 405 0.04853865241 685 0.04849844585 1140 0.04843975392 1461 0.04864096555 1826 0.04866549992 2556 0.04880207007 3652 0.04882266801 4383 0.04872191216 5478 0.048349283 7305 0.04767331218 10959 0.04598895898 
20050204 404 0.04842698138 775 0.04827571702 1139 0.04816933271 1461 0.04817690464 1826 0.04809640434 2558 0.04807123629 3652 0.04795526297 4385 0.04783240875 5478 0.04747237446 7305 0.04681192437 10958 0.04523903087 
20050207 401 0.04856676068 772 0.04834861808 1136 0.04818693176 1463 0.04822504275 1827 0.04809015777 2556 0.04798352753 3654 0.04781347465 4383 0.04766205612 5478 0.04727373854 7305 0.04658483301 10957 0.04490336424 
20050208 400 0.04883643533 771 0.04860751697 1135 0.04839434789 1462 0.04825989161 1826 0.048100895 2556 0.04788586327 3653 0.04754547765 4383 0.04737053747 5480 0.04689187149 7307 0.04615006392 10957 0.04433778352 
